,coef_on_log1p_SalePrice
__intercept__,11.919313745567917
Condition2_RRAe,-0.24825371424705672
Exterior1st_BrkComm,-0.23358882096301684
Heating_Wall,0.18377916874213435
RoofStyle_Shed,0.17974742463929164
Exterior1st_AsphShn,0.17772935027148365
Neighborhood_MeadowV,-0.15455014817151225
Condition2_PosA,0.14869292200426196
Condition2_PosN,-0.1436818583715976
Exterior2nd_ImStucc,0.1308719936893644
Neighborhood_StoneBr,0.11834128676580806
Heating_Grav,-0.11563614582626097
Exterior1st_BrkFace,0.11161152008816301
Condition2_Feedr,0.11117174807865257
Neighborhood_Crawfor,0.10990019710237475
Heating_Floor,-0.1048815380713792
Exterior2nd_CmentBd,0.10180640416417444
SaleType_Oth,0.10095958225973611
MSZoning_C (all),-0.09342831985037632
Exterior2nd_Other,-0.08454915885482663
Exterior2nd_Stone,-0.08355483840868938
SaleType_ConLI,-0.08277860952878704
Condition2_RRNn,0.08073701018058269
LotConfig_FR3,-0.07921045194340844
SaleCondition_Alloca,0.07277734225280331
GrLivArea,0.07096020677569481
Heating_GasW,0.07050787382382549
Exterior1st_MetalSd,0.07024318369911091
RoofStyle_Gable,-0.06966898389119064
RoofStyle_Hip,-0.06920918360687464
HouseStyle_2.5Fin,-0.06920681079262311
Exterior1st_ImStucc,-0.06834540836384921
SaleType_Con,0.06434136668392952
OverallQual,0.0640920885600322
SaleType_New,0.06341460440522317
YearBuilt,0.06282383029846335
Condition1_RRAe,-0.06204788836098111
SaleType_ConLw,-0.06177087504084434
Street_Pave,0.0615905198872196
Street_Grvl,-0.06159051988721845
BldgType_2fmCon,0.05992432922964892
Neighborhood_NridgHt,0.0592506461372401
Neighborhood_NPkVill,0.05773358586270046
Exterior2nd_BrkFace,-0.05547010338178371
SaleType_WD,-0.05520042773678751
Neighborhood_Blueste,-0.05450184812144613
RoofStyle_Gambrel,-0.05407452868018451
Exterior2nd_AsphShn,-0.05368742857532957
RoofMatl_WdShake,-0.0535393904305242
LotConfig_CulDSac,0.05330705222264353
MasVnrType_BrkCmn,-0.05195553826462372
GarageType_2Types,-0.05068820432613371
Neighborhood_Veenker,0.0503107075390892
Foundation_Wood,-0.049937512854198965
CentralAir_Y,0.049348884963996996
CentralAir_N,-0.049348884963983146
RoofMatl_WdShngl,0.04923554427112821
MSZoning_RH,0.04786592411761818
Exterior2nd_Wd Sdng,0.0471632865804182
SaleType_COD,-0.04611961363854015
2ndFlrSF,0.04595710077989875
MasVnrType_Stone,0.04406399028533509
Foundation_Stone,0.044049634931160604
RoofMatl_Metal,0.0431490633900721
SaleCondition_Partial,-0.04284711403688625
Condition1_Norm,0.04282368212802157
Condition1_RRAn,0.0427792776611768
Condition1_PosN,0.042475162898330615
1stFlrSF,0.041427676236393
OverallCond,0.0409737320450544
Neighborhood_BrDale,-0.04019977826025894
Condition1_Artery,-0.040152640105726216
Neighborhood_NWAmes,-0.038476573420138646
Neighborhood_Gilbert,-0.03791056408906515
RoofMatl_Tar&Grv,-0.03777373596253001
MSZoning_FV,0.03762054727833362
Neighborhood_BrkSide,0.0370963673076795
Exterior2nd_MetalSd,-0.03691000132761674
Neighborhood_SWISU,0.036887877899801434
Condition2_Norm,0.036592944833569944
HouseStyle_SLvl,0.03640837510871346
TotalBsmtSF,0.03540665204184558
BldgType_Twnhs,-0.035327549023055065
GarageQual,0.03467329569876676
SaleCondition_Abnorml,-0.03390731330012837
Exterior1st_WdShing,-0.03297857264261426
Exterior1st_CemntBd,-0.03248655522518182
